type,symbol,direction,gold_central,model_central,p,cliffs_delta,delta_mag
refactor,duplicate-code,net impact,,,,,N
refactor,too-many-arguments,introduced,1.0,1.0,0.5,-0.22,S
refactor,too-many-arguments,removed,0.5,0.0,0.5,-0.2,S
refactor,too-many-arguments,net impact,0.5,0.0,1.0,-0.13,N
refactor,inconsistent-return-statements,introduced,,,,,N
refactor,inconsistent-return-statements,removed,,,,,N
refactor,inconsistent-return-statements,net impact,,,,,N
refactor,too-many-return-statements,introduced,,,,,N
refactor,too-many-return-statements,removed,,,,,N
refactor,too-many-return-statements,net impact,,,,,N
refactor,too-many-instance-attributes,introduced,,,,,N
refactor,too-many-instance-attributes,removed,,,,,N
refactor,too-many-instance-attributes,net impact,,,,,N
warning,redefined-outer-name,introduced,0.0,0.0,0.05878172135535886,-0.2631578947368421,S
warning,redefined-outer-name,removed,0.0,0.0,1.0,0.0,N
warning,redefined-outer-name,net impact,0.0,0.0,0.0955807045456294,-0.23545706371191136,S
warning,unused-import,introduced,0.0,1.0,0.5048714548644415,0.13671875,N
warning,unused-import,removed,0.0,0.0,0.1575151277008262,-0.1171875,N
warning,unused-import,net impact,0.0,0.5,0.22015282650810786,0.20703125,S
warning,fixme,introduced,0.0,0.0,0.625,-0.1527777777777778,S
warning,fixme,removed,1.0,0.0,0.0546875,-0.3958333333333333,M
warning,fixme,net impact,-1.0,0.0,0.29150390625,0.2569444444444444,S
warning,broad-except,introduced,0.0,1.5,0.0625,0.62,L
warning,broad-except,removed,0.0,0.0,1.0,-0.1,N
warning,broad-except,net impact,0.0,1.5,0.05859375,0.63,L
warning,protected-access,introduced,0.0,0.0,0.75,0.1322314049586777,N
warning,protected-access,removed,1.0,0.0,0.25,-0.3305785123966942,M
warning,protected-access,net impact,-1.0,0.0,0.142578125,0.34710743801652894,M
warning,unused-variable,introduced,,,,,N
warning,unused-variable,removed,,,,,N
warning,unused-variable,net impact,,,,,N
warning,raise-missing-from,introduced,,,,,N
warning,raise-missing-from,removed,,,,,N
warning,raise-missing-from,net impact,,,,,N
warning,unused-argument,introduced,,,,,N
warning,unused-argument,removed,,,,,N
warning,unused-argument,net impact,,,,,N
warning,logging-fstring-interpolation,introduced,,,,,N
warning,logging-fstring-interpolation,removed,,,,,N
warning,logging-fstring-interpolation,net impact,,,,,N
warning,reimported,introduced,,,,,N
warning,reimported,removed,,,,,N
warning,reimported,net impact,,,,,N
