type,symbol,direction,gold_central,model_central,p,cliffs_delta,delta_mag
error,misplaced-bare-raise,introduced,,,,,N
error,misplaced-bare-raise,removed,,,,,N
error,misplaced-bare-raise,net impact,,,,,N
fatal,fatal,introduced,,,,,N
fatal,fatal,removed,,,,,N
fatal,fatal,net impact,,,,,N
refactor,too-many-branches,introduced,0.0,0.0,0.6547208460185769,-0.06666666666666667,N
refactor,too-many-branches,removed,0.0,0.0,0.4142161782425252,-0.13333333333333333,N
refactor,too-many-branches,net impact,0.0,0.0,0.7054569861112734,0.04888888888888889,N
refactor,too-many-locals,introduced,0.0,0.0,0.04550026389635839,-0.2222222222222222,S
refactor,too-many-locals,removed,0.0,0.0,0.15729920705028516,-0.1111111111111111,N
refactor,too-many-locals,net impact,0.0,0.0,0.31731050786291415,-0.1111111111111111,N
refactor,too-many-statements,introduced,0.0,0.0,1.0,0.09090909090909091,N
refactor,too-many-statements,removed,0.0,0.0,1.0,-0.09090909090909091,N
refactor,too-many-statements,net impact,0.0,0.0,0.5,0.1652892561983471,S
refactor,no-else-return,introduced,1.0,1.0,1.0,0.0,N
refactor,no-else-return,removed,0.0,0.0,0.0832645166635504,-0.14795918367346939,S
refactor,no-else-return,net impact,0.5,1.0,0.4495081068631104,0.12755102040816327,N
refactor,no-self-use,introduced,,,,,N
refactor,no-self-use,removed,,,,,N
refactor,no-self-use,net impact,,,,,N
refactor,duplicate-code,introduced,,,,,N
refactor,duplicate-code,removed,,,,,N
refactor,duplicate-code,net impact,,,,,N
refactor,too-many-arguments,introduced,,,,,N
refactor,too-many-arguments,removed,,,,,N
refactor,too-many-arguments,net impact,,,,,N
refactor,inconsistent-return-statements,introduced,,,,,N
refactor,inconsistent-return-statements,removed,,,,,N
refactor,inconsistent-return-statements,net impact,,,,,N
refactor,too-many-return-statements,introduced,,,,,N
refactor,too-many-return-statements,removed,,,,,N
refactor,too-many-return-statements,net impact,,,,,N
refactor,too-many-instance-attributes,introduced,,,,,N
refactor,too-many-instance-attributes,removed,,,,,N
refactor,too-many-instance-attributes,net impact,,,,,N
warning,redefined-outer-name,introduced,0.0,0.0,0.21875,-0.3076923076923077,S
warning,redefined-outer-name,removed,0.0,0.0,1.0,-0.07692307692307693,N
warning,redefined-outer-name,net impact,0.0,0.0,0.453125,-0.23668639053254437,S
warning,unused-import,introduced,0.0,1.0,0.04427950855439185,0.3525,M
warning,unused-import,removed,0.0,0.0,0.08347806272444168,-0.15,S
warning,unused-import,net impact,0.0,1.0,0.009392273935385788,0.46,M
warning,fixme,introduced,,,,,N
warning,fixme,removed,,,,,N
warning,fixme,net impact,,,,,N
warning,broad-except,introduced,,,,,N
warning,broad-except,removed,,,,,N
warning,broad-except,net impact,,,,,N
warning,protected-access,introduced,0.0,0.5,0.0625,0.39,M
warning,protected-access,removed,1.5,0.0,0.125,-0.36,M
warning,protected-access,net impact,-1.5,0.0,0.00390625,0.53,L
warning,unused-variable,introduced,,,,,N
warning,unused-variable,removed,,,,,N
warning,unused-variable,net impact,,,,,N
warning,raise-missing-from,introduced,,,,,N
warning,raise-missing-from,removed,,,,,N
warning,raise-missing-from,net impact,,,,,N
warning,unused-argument,introduced,,,,,N
warning,unused-argument,removed,,,,,N
warning,unused-argument,net impact,,,,,N
warning,logging-fstring-interpolation,introduced,,,,,N
warning,logging-fstring-interpolation,removed,,,,,N
warning,logging-fstring-interpolation,net impact,,,,,N
warning,reimported,introduced,,,,,N
warning,reimported,removed,,,,,N
warning,reimported,net impact,,,,,N
