model,label,instance,n_gold_files,first_file,second_file,category
claude-45haiku-10222025,Haiku,instance_ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,3,changelogs/fragments/50909-min-max-attrs.yml,docs/docsite/rst/user_guide/playbooks_filters.rst,config_doc
claude-45haiku-10222025,Haiku,instance_ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e-v7eee2454f617569fd6889f2211f75bc02a35f9f8,3,changelogs/fragments/parseable_locale.yml,lib/ansible/module_utils/basic.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,3,changelogs/fragments/meraki-rate-limit.yml,lib/ansible/module_utils/network/meraki/meraki.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-5260527c4a71bfed99d803e687dd19619423b134-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,4,changelogs/fragments/67794-atomic_move-default-perms.yml,docs/docsite/rst/porting_guides/porting_guide_2.11.rst,config_doc
claude-45haiku-10222025,Haiku,instance_ansible__ansible-5c225dc0f5bfa677addeac100a8018df3f3a9db1-v173091e2e36d38c978002990795f66cfc0af30ad,3,changelogs/fragments/74416-PlayIterator-_host_states-setters.yml,lib/ansible/executor/play_iterator.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1-v0f01c69f1e2528b935359cfe578530722bca2c59,2,changelogs/fragments/82387-unquote-strings-from-ini-files.yml,lib/ansible/config/manager.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,3,changelogs/fragments/facts_fixes.yml,lib/ansible/module_utils/facts/hardware/openbsd.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-748f534312f2073a25a87871f5bd05882891b8c4-v0f01c69f1e2528b935359cfe578530722bca2c59,2,changelogs/fragments/pkg_mgr-default-dnf.yml,lib/ansible/module_utils/facts/system/pkg_mgr.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-984216f52e76b904e5b0fa0fb956ab4f1e0a7751-v1055803c3a812189a1133297f7f5468579283f86,8,lib/ansible/config/ansible_builtin_runtime.yml,lib/ansible/errors/__init__.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-a02e22e902a69aeb465f16bf03f7f5a91b2cb828-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,5,changelogs/fragments/78678-add-a-g-install-offline.yml,lib/ansible/cli/galaxy.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-a1569ea4ca6af5480cf0b7b3135f5e12add28a44-v0f01c69f1e2528b935359cfe578530722bca2c59,2,changelogs/fragments/80257-iptables-chain-creation-does-not-populate-a-rule.yml,lib/ansible/modules/iptables.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-a20a52701402a12f91396549df04ac55809f68e9-v1055803c3a812189a1133297f7f5468579283f86,2,changelogs/fragments/galaxy-install-tar-path-traversal.yaml,lib/ansible/galaxy/collection.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-a26c325bd8f6e2822d9d7e62f77a424c1db4fbf6-v0f01c69f1e2528b935359cfe578530722bca2c59,5,changelogs/fragments/78512-uri-use-netrc-true-false-argument.yml,lib/ansible/module_utils/urls.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,9,.azure-pipelines/azure-pipelines.yml,changelogs/fragments/remove-python3.10-controller-support.yml,config_doc
claude-45haiku-10222025,Haiku,instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59,5,changelogs/fragments/78633-urls-ciphers.yml,lib/ansible/module_utils/urls.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-be2c376ab87e3e872ca21697508f12c6909cf85a-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,2,changelogs/fragments/72754-extract-emb-func.yaml,lib/ansible/cli/doc.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86,2,changelogs/fragments/72984_adding_set_support.yml,lib/ansible/modules/iptables.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-cd9c4eb5a6b2bfaf4a6709f001ce3d0c92c1eed2-v0f01c69f1e2528b935359cfe578530722bca2c59,2,changelogs/fragments/gather-s390-sysinfo.yml,lib/ansible/module_utils/facts/hardware/linux.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-d30fc6c0b359f631130b0e979d9a78a7b3747d48-v1055803c3a812189a1133297f7f5468579283f86,2,changelogs/fragments/galaxy-symlinks.yaml,lib/ansible/galaxy/collection.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-d62496fe416623e88b90139dc7917080cb04ce70-v0f01c69f1e2528b935359cfe578530722bca2c59,3,changelogs/fragments/82075.yml,lib/ansible/module_utils/common/text/formatters.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-d6d2251929c84c3aa883bad7db0f19cc9ff0339e-v30a923fb5c164d6cd18280c02422f75e611e8fb2,4,changelogs/fragments/skip-implicit-flush_handlers-no-notify.yml,lib/ansible/executor/play_iterator.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-d9f1866249756efc264b00ff7497e92c11a9885f-v0f01c69f1e2528b935359cfe578530722bca2c59,3,changelogs/fragments/deprecate-safe-evals.yml,lib/ansible/module_utils/basic.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-de01db08d00c8d2438e1ba5989c313ba16a145b0-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,3,changelogs/fragments/pip-entry-point.yml,docs/docsite/rst/porting_guides/porting_guide_core_2.12.rst,config_doc
claude-45haiku-10222025,Haiku,instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,5,docs/docsite/rst/dev_guide/developing_collections_distributing.rst,lib/ansible/galaxy/collection/__init__.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-e0c91af45fa9af575d10fd3e724ebc59d2b2d6ac-v30a923fb5c164d6cd18280c02422f75e611e8fb2,4,changelogs/fragments/rm-compat-environ.yml,lib/ansible/config/manager.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-e22e103cdf8edc56ff7d9b848a58f94f1471a263-v1055803c3a812189a1133297f7f5468579283f86,2,changelogs/fragments/winrm_kinit_args.yaml,lib/ansible/plugins/connection/winrm.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-e9e6001263f51103e96e58ad382660df0f3d0e39-v30a923fb5c164d6cd18280c02422f75e611e8fb2,2,changelogs/fragments/winrm-kinit-pexpect.yml,lib/ansible/plugins/connection/winrm.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-ea04e0048dbb3b63f876aad7020e1de8eee9f362-v1055803c3a812189a1133297f7f5468579283f86,6,docs/docsite/rst/dev_guide/testing_validate-modules.rst,lib/ansible/module_utils/basic.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,2,lib/ansible/galaxy/dependency_resolution/dataclasses.py,lib/ansible/utils/collection_loader/_collection_finder.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,7,changelogs/fragments/72276-provide-better-vault-error.yml,lib/ansible/errors/__init__.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-fb144c44144f8bd3542e71f5db62b6d322c7bd85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,4,changelogs/fragments/ansible-doc-formats.yml,docs/docsite/rst/dev_guide/developing_modules_documenting.rst,config_doc
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-00bec1e7c8f3272c469a58e1377df03f955ed478-v13642507b4fc1f8d234172bf8129942da2c2ca26,2,openlibrary/plugins/importapi/code.py,openlibrary/plugins/importapi/import_validator.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-123e6e5e1c85b9c07d1e98f70bfc480bc8016890-v2733ff199fb72f0d033a30dc62cb0a4742e3a7f4,2,openlibrary/core/vendors.py,scripts/affiliate_server.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-1351c59fd43689753de1fca32c78d539a116ffc1-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,3,openlibrary/catalog/add_book/__init__.py,openlibrary/catalog/add_book/match.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-25858f9f0c165df25742acf8309ce909773f0cdd-v13642507b4fc1f8d234172bf8129942da2c2ca26,4,openlibrary/solr/update_edition.py,openlibrary/solr/update_work.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-3f580a5f244c299d936d73d9e327ba873b6401d9-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,3,openlibrary/core/bookshelves.py,openlibrary/core/edits.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-427f1f4eddfc54735ca451779d4f95bf683d1b0e-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2,conf/solr/conf/solrconfig.xml,openlibrary/plugins/worksearch/schemes/works.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-431442c92887a3aece3f8aa771dd029738a80eb1-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,2,openlibrary/plugins/worksearch/schemes/works.py,openlibrary/solr/query_utils.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,3,openlibrary/core/wikidata.py,openlibrary/i18n/messages.pot,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-58999808a17a26b387f8237860a7a524d1e2d262-v08d8e8889ec945ab821fb156c04c7d2e2810debb,2,openlibrary/core/bookshelves_events.py,openlibrary/plugins/upstream/checkins.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-5c6c22f3d2edf2f1b10f5dc335e32cb6a5f40341-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,2,openlibrary/plugins/importapi/code.py,openlibrary/plugins/upstream/utils.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-60725705782832a2cb22e17c49697948a42a9d03-v298a7a812ceed28c4c18355a091f1b268fe56d86,4,openlibrary/plugins/upstream/account.py,openlibrary/plugins/upstream/models.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-62d2243131a9c7e6aee00d1e9c5660fd5b594e89-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2,openlibrary/core/ratings.py,openlibrary/solr/updater/author.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-72321288ea790a3ace9e36f1c05b68c93f7eec43-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,4,openlibrary/plugins/worksearch/schemes/works.py,openlibrary/solr/query_utils.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-757fcf46c70530739c150c57b37d6375f155dc97-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,4,openlibrary/catalog/add_book/__init__.py,openlibrary/catalog/add_book/match.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-7bf3238533070f2d24bafbb26eedf675d51941f6-v08d8e8889ec945ab821fb156c04c7d2e2810debb,9,conf/solr/conf/managed-schema,openlibrary/core/bookshelves.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-7cbfb812ef0e1f9716e2d6e85d538a96fcb79d13-vfa6ff903cb27f336e17654595dd900fa943dcd91,5,conf/openlibrary.yml,openlibrary/core/observations.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-7f6b722a10f822171501d027cad60afe53337732-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,13,openlibrary/core/bookshelves.py,openlibrary/plugins/worksearch/code.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-8a5a63af6e0be406aa6c8c9b6d5f28b2f1b6af5a-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,5,compose.production.yaml,scripts/monitoring/haproxy_monitor.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-91efee627df01e32007abf2d6ebf73f9d9053076-vbee42ad1b72fb23c6a1c874868a720b370983ed2,2,openlibrary/templates/account/books.html,openlibrary/utils/dateutil.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-92db3454aeaa02f89b4cdbc3103f7e95c9759f92-v2c55207218fb8a0138425cbf7d9675272e240b90,11,docker-compose.yml,openlibrary/core/bookshelves.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-9c392b60e2c6fa1d68cb68084b4b4ff04d0cb35c-v2d9a6c849c60ed19fd0858ce9e40b7cc8e097e59,3,openlibrary/catalog/marc/marc_base.py,openlibrary/catalog/marc/marc_binary.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-a7b7dc5735a1b3a9824376b1b469b556dd413981-va4315b5dc369c1ef66ae22f9ae4267aa3114e1b3,2,openlibrary/plugins/worksearch/schemes/works.py,openlibrary/solr/query_utils.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-b112069e31e0553b2d374abb5f9c5e05e8f3dbbe-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,5,openlibrary/catalog/add_book/__init__.py,openlibrary/core/stats.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-b4f7c185ae5f1824ac7f3a18e8adf6a4b468459c-v08d8e8889ec945ab821fb156c04c7d2e2810debb,2,openlibrary/solr/update_work.py,openlibrary/solr/utils.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-ba3abfb6af6e722185d3715929ab0f3e5a134eed-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,3,openlibrary/catalog/add_book/__init__.py,openlibrary/catalog/utils/__init__.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-bdba0af0f6cbaca8b5fc3be2a3080f38156d9c92-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,2,openlibrary/templates/account/books.html,openlibrary/utils/dateutil.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-c12943be1db80cf1114bc267ddf4f9933aca9b28-v2c55207218fb8a0138425cbf7d9675272e240b90,3,openlibrary/catalog/add_book/__init__.py,openlibrary/plugins/upstream/models.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-c4eebe6677acc4629cb541a98d5e91311444f5d4-v13642507b4fc1f8d234172bf8129942da2c2ca26,2,openlibrary/core/imports.py,openlibrary/core/models.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-c506c1b0b678892af5cb22c1c1dbc35d96787a0a-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,14,Makefile,conf/solr/conf/managed-schema.xml,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-d109cc7e6e161170391f98f9a6fa1d02534c18e4-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,10,openlibrary/core/lists/model.py,openlibrary/macros/SearchResultsWork.html,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-d8162c226a9d576f094dc1830c4c1ffd0be2dd17-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,3,openlibrary/catalog/add_book/__init__.py,openlibrary/catalog/utils/__init__.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-e010b2a13697de70170033902ba2e27a1e1acbe9-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,7,openlibrary/book_providers.py,openlibrary/i18n/messages.pot,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-f0341c0ba81c790241b782f5103ce5c9a6edf8e3-ve8fc82d8aae8463b752a211156c5b7b59f349237,3,openlibrary/catalog/add_book/__init__.py,openlibrary/catalog/utils/__init__.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-fad4a40acf5ff5f06cd7441a5c7baf41a7d81fe4-vfa6ff903cb27f336e17654595dd900fa943dcd91,2,openlibrary/catalog/get_ia.py,openlibrary/catalog/marc/marc_subject.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-fdbc0d8f418333c7e575c40b661b582c301ef7ac-v13642507b4fc1f8d234172bf8129942da2c2ca26,4,openlibrary/catalog/add_book/__init__.py,openlibrary/core/imports.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-0833b5f6f140d04200ec91605f88704dd18e2970-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,3,qutebrowser/browser/qtnetworkdownloads.py,qutebrowser/browser/webkit/network/networkreply.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-0aa57e4f7243024fa4bba8853306691b5dbd77b3-v5149fcda2a9a6fe1d35dfed1bade1444a11ef271,3,doc/help/settings.asciidoc,qutebrowser/browser/webengine/darkmode.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-0d2afd58f3d0e34af21cee7d8a3fc9d855594e9f-vnan,4,qutebrowser/app.py,qutebrowser/browser/eventfilter.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,5,qutebrowser/browser/browsertab.py,qutebrowser/browser/commands.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-1af602b258b97aaba69d2585ed499d95e2303ac2-v2ef375ac784985212b1805e1d0431dc8f1b3c171,2,doc/changelog.asciidoc,qutebrowser/components/readlinecommands.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-2dd8966fdcf11972062c540b7a787e4d0de8d372-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,5,qutebrowser/browser/webkit/webview.py,qutebrowser/config/configdata.yml,config_doc
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-2e961080a85d660148937ee8f0f6b3445a8f2c01-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,3,doc/help/settings.asciidoc,qutebrowser/config/configdata.yml,config_doc
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-35168ade46184d7e5b91dfa04ca42fe2abd82717-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,2,qutebrowser/config/config.py,qutebrowser/utils/jinja.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-3fd8e12949b8feda401930574facf09dd4180bba,6,doc/help/commands.asciidoc,qutebrowser/browser/hints.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-52708364b5f91e198defb022d1a5b4b3ebd9b563-v2ef375ac784985212b1805e1d0431dc8f1b3c171,4,doc/help/settings.asciidoc,qutebrowser/config/configdata.yml,config_doc
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a,2,doc/changelog.asciidoc,qutebrowser/misc/guiprocess.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-5e0d6dc1483cb3336ea0e3dcbd4fe4aa00fc1742-v5149fcda2a9a6fe1d35dfed1bade1444a11ef271,4,qutebrowser/browser/webengine/webenginetab.py,qutebrowser/config/configdata.yml,config_doc
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,3,qutebrowser/config/configfiles.py,qutebrowser/config/configtypes.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-66cfa15c372fa9e613ea5a82d3b03e4609399fb6-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,5,doc/changelog.asciidoc,doc/help/settings.asciidoc,config_doc
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-85b867fe8d4378c8e371f055c70452f546055854-v2ef375ac784985212b1805e1d0431dc8f1b3c171,3,doc/help/commands.asciidoc,qutebrowser/components/misccommands.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-8f46ba3f6dc7b18375f7aa63c48a1fe461190430-v2ef375ac784985212b1805e1d0431dc8f1b3c171,3,misc/nsis/install.nsh,misc/org.qutebrowser.qutebrowser.desktop,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-96b997802e942937e81d2b8a32d08f00d3f4bc4e-v5fc38aaf22415ab0b70567368332beee7955b367,2,qutebrowser/misc/utilcmds.py,qutebrowser/utils/utils.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-99029144b5109bb1b2a53964a7c129e009980cd9-va0fd88aac89cde702ec1ba84877234da33adce8a,5,doc/changelog.asciidoc,doc/help/settings.asciidoc,config_doc
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-996487c43e4fcc265b541f9eca1e7930e3c5cf05-v2ef375ac784985212b1805e1d0431dc8f1b3c171,2,qutebrowser/config/configdata.yml,qutebrowser/config/configtypes.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-bedc9f7fadf93f83d8dee95feeecb9922b6f063f-v2ef375ac784985212b1805e1d0431dc8f1b3c171,4,qutebrowser/browser/downloads.py,qutebrowser/mainwindow/tabbedbrowser.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-c09e1439f145c66ee3af574386e277dd2388d094-v2ef375ac784985212b1805e1d0431dc8f1b3c171,4,doc/help/commands.asciidoc,qutebrowser/browser/qutescheme.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-de4a1c1a2839b5b49c3d4ce21d39de48d24e2091-v2ef375ac784985212b1805e1d0431dc8f1b3c171,4,qutebrowser/app.py,qutebrowser/config/configinit.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-e15d26630934d0b6415ed2295ac42fd570a57620-va0fd88aac89cde702ec1ba84877234da33adce8a,3,doc/changelog.asciidoc,qutebrowser/browser/shared.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-e5340c449f23608803c286da0563b62f58ba25b0-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,7,qutebrowser/browser/shared.py,qutebrowser/browser/webengine/certificateerror.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-e57b6e0eeeb656eb2c84d6547d5a0a7333ecee85-v2ef375ac784985212b1805e1d0431dc8f1b3c171,3,qutebrowser/components/adblock.py,qutebrowser/components/braveadblock.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-ebfe9b7aa0c4ba9d451f993e08955004aaec4345-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,2,qutebrowser/utils/log.py,qutebrowser/utils/qtlog.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-ed19d7f58b2664bb310c7cb6b52c5b9a06ea60b2-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,4,doc/help/commands.asciidoc,qutebrowser/browser/qutescheme.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-f7753550f2c1dcb2348e4779fd5287166754827e-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,3,qutebrowser/keyinput/basekeyparser.py,qutebrowser/keyinput/keyutils.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-f8e7fea0becae25ae20606f1422068137189fe9e,4,doc/changelog.asciidoc,doc/help/settings.asciidoc,config_doc
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,3,qutebrowser/browser/qtnetworkdownloads.py,qutebrowser/utils/log.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171,6,doc/changelog.asciidoc,doc/help/commands.asciidoc,config_doc
