model,label,instance,ai_n_files,ai_n_test,ai_n_config_doc,ai_n_source,ai_second_file,ai_second_cat,gold_n_files,gold_n_test,gold_n_config_doc,gold_n_source,gold_second_file,gold_second_cat
claude-45haiku-10222025,Haiku,instance_ansible__ansible-5260527c4a71bfed99d803e687dd19619423b134-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,4,0,2,2,IMPLEMENTATION_COMPLETE.md,config_doc,4,0,2,2,docs/docsite/rst/porting_guides/porting_guide_2.11.rst,config_doc
claude-45haiku-10222025,Haiku,instance_ansible__ansible-5c225dc0f5bfa677addeac100a8018df3f3a9db1-v173091e2e36d38c978002990795f66cfc0af30ad,1,0,0,1,,none,3,0,1,2,lib/ansible/executor/play_iterator.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-5d253a13807e884b7ce0b6b57a963a45e2f0322c-v1055803c3a812189a1133297f7f5468579283f86,2,0,1,1,lib/ansible/plugins/lookup/password.py,source,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_ansible__ansible-5e88cd9972f10b66dd97e1ee684c910c6a2dd25e-v906c969b551b346ef54a2c0b41e04f632b7b73c2,2,1,0,1,test/units/modules/network/netvisor/test_pn_user.py,test,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1-v0f01c69f1e2528b935359cfe578530722bca2c59,1,0,0,1,,none,2,0,1,1,lib/ansible/config/manager.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-622a493ae03bd5e5cf517d336fc426e9d12208c7-v906c969b551b346ef54a2c0b41e04f632b7b73c2,1,0,0,1,,none,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,4,0,0,4,lib/ansible/module_utils/facts/hardware/netbsd.py,source,3,0,1,2,lib/ansible/module_utils/facts/hardware/openbsd.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-748f534312f2073a25a87871f5bd05882891b8c4-v0f01c69f1e2528b935359cfe578530722bca2c59,1,0,0,1,,none,2,0,1,1,lib/ansible/module_utils/facts/system/pkg_mgr.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-77658704217d5f166404fc67997203c25381cb6e-v390e508d27db7a51eece36bb6d9698b63a5b638a,1,0,0,1,,none,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_ansible__ansible-984216f52e76b904e5b0fa0fb956ab4f1e0a7751-v1055803c3a812189a1133297f7f5468579283f86,7,1,0,6,lib/ansible/executor/task_executor.py,source,8,0,1,7,lib/ansible/errors/__init__.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-a02e22e902a69aeb465f16bf03f7f5a91b2cb828-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,4,0,0,4,lib/ansible/galaxy/collection/__init__.py,source,5,0,1,4,lib/ansible/cli/galaxy.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-a1569ea4ca6af5480cf0b7b3135f5e12add28a44-v0f01c69f1e2528b935359cfe578530722bca2c59,2,1,0,1,test/units/modules/test_iptables.py,test,2,0,1,1,lib/ansible/modules/iptables.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-a20a52701402a12f91396549df04ac55809f68e9-v1055803c3a812189a1133297f7f5468579283f86,1,0,0,1,,none,2,0,1,1,lib/ansible/galaxy/collection.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-a26c325bd8f6e2822d9d7e62f77a424c1db4fbf6-v0f01c69f1e2528b935359cfe578530722bca2c59,5,0,1,4,lib/ansible/module_utils/urls.py,source,5,0,1,4,lib/ansible/module_utils/urls.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,7,0,1,6,lib/ansible/galaxy/collection/__init__.py,source,9,0,4,5,changelogs/fragments/remove-python3.10-controller-support.yml,config_doc
claude-45haiku-10222025,Haiku,instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59,4,2,0,2,lib/ansible/plugins/lookup/url.py,source,5,0,1,4,lib/ansible/module_utils/urls.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-be2c376ab87e3e872ca21697508f12c6909cf85a-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,1,0,0,1,,none,2,0,1,1,lib/ansible/cli/doc.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86,1,0,0,1,,none,2,0,1,1,lib/ansible/modules/iptables.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-cd9c4eb5a6b2bfaf4a6709f001ce3d0c92c1eed2-v0f01c69f1e2528b935359cfe578530722bca2c59,1,0,0,1,,none,2,0,1,1,lib/ansible/module_utils/facts/hardware/linux.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-d30fc6c0b359f631130b0e979d9a78a7b3747d48-v1055803c3a812189a1133297f7f5468579283f86,1,0,0,1,,none,2,0,1,1,lib/ansible/galaxy/collection.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-d62496fe416623e88b90139dc7917080cb04ce70-v0f01c69f1e2528b935359cfe578530722bca2c59,3,2,0,1,test_edge_cases.py,test,3,0,2,1,lib/ansible/module_utils/common/text/formatters.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-d6d2251929c84c3aa883bad7db0f19cc9ff0339e-v30a923fb5c164d6cd18280c02422f75e611e8fb2,2,0,0,2,lib/ansible/plugins/strategy/linear.py,source,4,0,1,3,lib/ansible/executor/play_iterator.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-d9f1866249756efc264b00ff7497e92c11a9885f-v0f01c69f1e2528b935359cfe578530722bca2c59,2,0,1,1,lib/ansible/module_utils/common/validation.py,source,3,0,1,2,lib/ansible/module_utils/basic.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-de01db08d00c8d2438e1ba5989c313ba16a145b0-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,2,0,1,1,lib/ansible/modules/pip.py,source,3,0,2,1,docs/docsite/rst/porting_guides/porting_guide_core_2.12.rst,config_doc
claude-45haiku-10222025,Haiku,instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,2,0,0,2,lib/ansible/galaxy/collection/concrete_artifact_manager.py,source,5,0,2,3,lib/ansible/galaxy/collection/__init__.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-e0c91af45fa9af575d10fd3e724ebc59d2b2d6ac-v30a923fb5c164d6cd18280c02422f75e611e8fb2,2,1,0,1,test/units/plugins/lookup/test_env.py,test,4,0,1,3,lib/ansible/config/manager.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-e22e103cdf8edc56ff7d9b848a58f94f1471a263-v1055803c3a812189a1133297f7f5468579283f86,1,0,0,1,,none,2,0,1,1,lib/ansible/plugins/connection/winrm.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-e9e6001263f51103e96e58ad382660df0f3d0e39-v30a923fb5c164d6cd18280c02422f75e611e8fb2,2,0,1,1,lib/ansible/plugins/connection/winrm.py,source,2,0,1,1,lib/ansible/plugins/connection/winrm.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-ea04e0048dbb3b63f876aad7020e1de8eee9f362-v1055803c3a812189a1133297f7f5468579283f86,4,2,0,2,lib/ansible/module_utils/common/warnings.py,source,6,0,1,5,lib/ansible/module_utils/basic.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-ed6581e4db2f1bec5a772213c3e186081adc162d-v0f01c69f1e2528b935359cfe578530722bca2c59,1,0,0,1,,none,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,2,0,0,2,lib/ansible/utils/collection_loader/_collection_finder.py,source,2,0,0,2,lib/ansible/utils/collection_loader/_collection_finder.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,4,0,0,4,lib/ansible/parsing/vault/__init__.py,source,7,0,1,6,lib/ansible/errors/__init__.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-fb144c44144f8bd3542e71f5db62b6d322c7bd85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,1,0,0,1,,none,4,0,2,2,docs/docsite/rst/dev_guide/developing_modules_documenting.rst,config_doc
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-00bec1e7c8f3272c469a58e1377df03f955ed478-v13642507b4fc1f8d234172bf8129942da2c2ca26,1,0,0,1,,none,2,0,0,2,openlibrary/plugins/importapi/import_validator.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-0d13e6b4bf80bced6c0946b969b9a1b6963f6bce-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,1,0,0,1,,none,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-0dc5b20fa186f9714f8a838178597e69f549d026-v2d9a6c849c60ed19fd0858ce9e40b7cc8e097e59,3,2,0,1,openlibrary/catalog/marc/tests/test_data/bin_expect/880_Nihon_no_chasho.json,test,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-123e6e5e1c85b9c07d1e98f70bfc480bc8016890-v2733ff199fb72f0d033a30dc62cb0a4742e3a7f4,1,0,0,1,,none,2,0,0,2,scripts/affiliate_server.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-1351c59fd43689753de1fca32c78d539a116ffc1-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,2,0,0,2,openlibrary/catalog/utils/__init__.py,source,3,0,0,3,openlibrary/catalog/add_book/match.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-25858f9f0c165df25742acf8309ce909773f0cdd-v13642507b4fc1f8d234172bf8129942da2c2ca26,2,0,0,2,openlibrary/solr/utils.py,source,4,0,0,4,openlibrary/solr/update_work.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-2abe28b472ffed563a87cfe83685b161b35263b0-v13642507b4fc1f8d234172bf8129942da2c2ca26,1,0,0,1,,none,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-3c48b4bb782189e0858e6c3fc7956046cf3e1cfb-v2d9a6c849c60ed19fd0858ce9e40b7cc8e097e59,4,3,0,1,openlibrary/catalog/marc/tests/test_data/bin_expect/equalsign_title.mrc,test,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-3f580a5f244c299d936d73d9e327ba873b6401d9-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,1,0,0,1,,none,3,0,0,3,openlibrary/core/edits.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-427f1f4eddfc54735ca451779d4f95bf683d1b0e-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,1,0,0,1,,none,2,0,1,1,openlibrary/plugins/worksearch/schemes/works.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-431442c92887a3aece3f8aa771dd029738a80eb1-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,1,0,0,1,,none,2,0,0,2,openlibrary/solr/query_utils.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-43f9e7e0d56a4f1d487533543c17040a029ac501-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,3,2,0,1,openlibrary/catalog/add_book/tests/test_wikisource_load_integration.py,test,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,1,0,0,1,,none,3,0,2,1,openlibrary/i18n/messages.pot,config_doc
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-58999808a17a26b387f8237860a7a524d1e2d262-v08d8e8889ec945ab821fb156c04c7d2e2810debb,1,0,0,1,,none,2,0,0,2,openlibrary/plugins/upstream/checkins.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-5c6c22f3d2edf2f1b10f5dc335e32cb6a5f40341-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,2,0,0,2,openlibrary/plugins/upstream/utils.py,source,2,0,0,2,openlibrary/plugins/upstream/utils.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-60725705782832a2cb22e17c49697948a42a9d03-v298a7a812ceed28c4c18355a091f1b268fe56d86,1,0,0,1,,none,4,0,2,2,openlibrary/plugins/upstream/models.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-62d2243131a9c7e6aee00d1e9c5660fd5b594e89-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2,0,0,2,openlibrary/solr/updater/author.py,source,2,0,0,2,openlibrary/solr/updater/author.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb,1,0,0,1,,none,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-72321288ea790a3ace9e36f1c05b68c93f7eec43-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,1,0,0,1,,none,4,0,0,4,openlibrary/solr/query_utils.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-757fcf46c70530739c150c57b37d6375f155dc97-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,4,0,0,4,openlibrary/catalog/add_book/match.py,source,4,0,0,4,openlibrary/catalog/add_book/match.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-7bf3238533070f2d24bafbb26eedf675d51941f6-v08d8e8889ec945ab821fb156c04c7d2e2810debb,4,0,0,4,openlibrary/solr/data_provider.py,source,9,0,1,8,openlibrary/core/bookshelves.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-7cbfb812ef0e1f9716e2d6e85d538a96fcb79d13-vfa6ff903cb27f336e17654595dd900fa943dcd91,1,0,0,1,,none,5,0,1,4,openlibrary/core/observations.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-7f6b722a10f822171501d027cad60afe53337732-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,4,0,0,4,openlibrary/plugins/worksearch/schemes/__init__.py,source,13,0,5,8,openlibrary/plugins/worksearch/code.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-8a5a63af6e0be406aa6c8c9b6d5f28b2f1b6af5a-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,4,0,1,3,scripts/monitoring/monitor.py,source,5,0,2,3,scripts/monitoring/haproxy_monitor.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-91efee627df01e32007abf2d6ebf73f9d9053076-vbee42ad1b72fb23c6a1c874868a720b370983ed2,3,0,2,1,openlibrary/templates/account/mybooks.html,config_doc,2,0,1,1,openlibrary/utils/dateutil.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-92db3454aeaa02f89b4cdbc3103f7e95c9759f92-v2c55207218fb8a0138425cbf7d9675272e240b90,2,0,1,1,openlibrary/core/bookshelves.py,source,11,0,5,6,openlibrary/core/bookshelves.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-9c392b60e2c6fa1d68cb68084b4b4ff04d0cb35c-v2d9a6c849c60ed19fd0858ce9e40b7cc8e097e59,1,0,0,1,,none,3,0,0,3,openlibrary/catalog/marc/marc_binary.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-a7b7dc5735a1b3a9824376b1b469b556dd413981-va4315b5dc369c1ef66ae22f9ae4267aa3114e1b3,2,0,0,2,openlibrary/solr/query_utils.py,source,2,0,0,2,openlibrary/solr/query_utils.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-b112069e31e0553b2d374abb5f9c5e05e8f3dbbe-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,9,0,1,8,openlibrary/core/imports.py,source,5,0,0,5,openlibrary/core/stats.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-b4f7c185ae5f1824ac7f3a18e8adf6a4b468459c-v08d8e8889ec945ab821fb156c04c7d2e2810debb,2,1,0,1,openlibrary/tests/solr/test_update_work.py,test,2,0,0,2,openlibrary/solr/utils.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-ba3abfb6af6e722185d3715929ab0f3e5a134eed-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,3,0,0,3,openlibrary/catalog/utils/__init__.py,source,3,0,0,3,openlibrary/catalog/utils/__init__.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-bdba0af0f6cbaca8b5fc3be2a3080f38156d9c92-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,1,0,0,1,,none,2,0,1,1,openlibrary/utils/dateutil.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-c05ccf2cd8baa81609434e0e35c4a63bc0da5a25-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2,1,0,1,openlibrary/tests/catalog/conftest.py,test,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-c12943be1db80cf1114bc267ddf4f9933aca9b28-v2c55207218fb8a0138425cbf7d9675272e240b90,1,0,0,1,,none,3,0,0,3,openlibrary/plugins/upstream/models.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-c4eebe6677acc4629cb541a98d5e91311444f5d4-v13642507b4fc1f8d234172bf8129942da2c2ca26,1,0,0,1,,none,2,0,0,2,openlibrary/core/models.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-c506c1b0b678892af5cb22c1c1dbc35d96787a0a-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,1,0,0,1,,none,14,0,4,10,conf/solr/conf/managed-schema.xml,config_doc
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-d109cc7e6e161170391f98f9a6fa1d02534c18e4-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,1,0,0,1,,none,10,0,4,6,openlibrary/macros/SearchResultsWork.html,config_doc
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-d8162c226a9d576f094dc1830c4c1ffd0be2dd17-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,1,0,0,1,,none,3,0,0,3,openlibrary/catalog/utils/__init__.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-de6ae10512f1b5ef585c8341b451bc49c9fd4996-vfa6ff903cb27f336e17654595dd900fa943dcd91,1,0,0,1,,none,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-e010b2a13697de70170033902ba2e27a1e1acbe9-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,4,0,1,3,openlibrary/macros/RawQueryCarousel.html,config_doc,7,0,4,3,openlibrary/i18n/messages.pot,config_doc
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-e8084193a895d8ee81200f49093389a3887479ce-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,2,1,0,1,openlibrary/catalog/marc/tests/test_data/bin_expect/ithaca_two_856u.json,test,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-f0341c0ba81c790241b782f5103ce5c9a6edf8e3-ve8fc82d8aae8463b752a211156c5b7b59f349237,11,4,3,4,IMPLEMENTATION_COMPLETE.txt,config_doc,3,0,0,3,openlibrary/catalog/utils/__init__.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-fad4a40acf5ff5f06cd7441a5c7baf41a7d81fe4-vfa6ff903cb27f336e17654595dd900fa943dcd91,2,1,0,1,openlibrary/tests/catalog/test_get_ia.py,test,2,0,0,2,openlibrary/catalog/marc/marc_subject.py,source
claude-45haiku-10222025,Haiku,instance_internetarchive__openlibrary-fdbc0d8f418333c7e575c40b661b582c301ef7ac-v13642507b4fc1f8d234172bf8129942da2c2ca26,1,0,0,1,,none,4,0,0,4,openlibrary/core/imports.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-0833b5f6f140d04200ec91605f88704dd18e2970-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,1,0,0,1,,none,3,0,0,3,qutebrowser/browser/webkit/network/networkreply.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-0aa57e4f7243024fa4bba8853306691b5dbd77b3-v5149fcda2a9a6fe1d35dfed1bade1444a11ef271,3,0,1,2,qutebrowser/config/config.py,source,3,0,2,1,qutebrowser/browser/webengine/darkmode.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-0b621cb0ce2b54d3f93d8d41d8ff4257888a87e5-v2ef375ac784985212b1805e1d0431dc8f1b3c171,2,1,0,1,tests/unit/misc/test_guiprocess.py,test,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-0d2afd58f3d0e34af21cee7d8a3fc9d855594e9f-vnan,5,0,0,5,qutebrowser/browser/eventfilter.py,source,4,0,0,4,qutebrowser/browser/eventfilter.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,5,0,0,5,qutebrowser/browser/commands.py,source,5,0,0,5,qutebrowser/browser/commands.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-1a9e74bfaf9a9db2a510dc14572d33ded6040a57-v2ef375ac784985212b1805e1d0431dc8f1b3c171,1,0,0,1,,none,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-1af602b258b97aaba69d2585ed499d95e2303ac2-v2ef375ac784985212b1805e1d0431dc8f1b3c171,1,0,0,1,,none,2,0,1,1,qutebrowser/components/readlinecommands.py,source
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-2dd8966fdcf11972062c540b7a787e4d0de8d372-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,1,0,0,1,,none,5,0,1,4,qutebrowser/config/configdata.yml,config_doc
claude-45haiku-10222025,Haiku,instance_qutebrowser__qutebrowser-2e961080a85d660148937ee8f0f6b3445a8f2c01-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,2,0,1,1,qutebrowser/config/qtargs.py,source,3,0,2,1,qutebrowser/config/configdata.yml,config_doc
